p_id;p_ident;p_number;p_projet;Type_publication;p_titre;p_type_com;p_speaker_invite;p_nom_conference;p_date_debut_conference;p_date_fin_conference;p_ville_conference;p_pays_conference;p_lien_conference;p_nom_journal;p_publication_journal;p_volume_journal;p_pages_journal;p_annee_publication;p_doi;p_url_bdd;p_date_soumission;p_date_notification;p_date_soumission_finale;p_nom_responsable;p_liste_auteurs;p_affiliation;p_directeur_stage;p_date_debut_stage;p_date_fin_stage;p_award;p_date_soutenance_these;p_composition_jury_these;p_etablissement_delivrant_these;p_directeur_these;p_date_debut_these;p_date_fin_these;p_nom_meeting;p_date_meeting;p_auteur;p_avec_abstract;Statut;p_actif
646;U010-1;1;U010;Communication;Framework-assisted implementation of an aircraft aero-structural-powerplant multidisciplinary optimization process using GEMSEO;;;EUROGEN 2023;01/06/2023;03/06/2023;Chania;Grèce;https://www.eurogen2023.org/;;;;;;;;;21/03/2023;;;Caslav ILIC, Mohammad ABU-ZURAYK, Patrick WEGENER, Martin BAUER, Achyuth ATTRAVANAM, Thomas KLIMMEK, Matthias SCHULZE, Kautuk SINHA, Jannik HÄBY, Anne GAZAIX, François GALLARD, Jean-Christophe GIRET, Matthias DE LOZZO;DLR, DLR, DLR, DLR, DLR, DLR, DLR, DLR, DLR, ADS/IRT, IRT, IRT, IRT;;;;;;;;;;;;;697;0;Réalisé;1
649;M075-12;12;M075;Article journal;Rheology of Ti-6Al-4V alloy under non-equilibrium conditions during ? forging;;;;;;;;;JOURNAL OF MATERIALS PROCESSING TECHNOLOGY;01/01/2024;;;;;;;;;;Pauline Martin a,b, Aurélien Prillieux b, Yannick Balcaen a, Arnaud Hacquin b,c, Michel Saby c, Benjamin Dod d, Joël Alexis a, Simon Perusin b;a : Université de Toulouse, LGP, ENIT-INPT / b : IRT Saint Exupéry / c : Aubert&Duval / d : Airbus;;;;;;;;;;;;;883;0;Réalisé;1
650;S087-13;13;S087;Communication;A parametric benchmark problem for multidisciplinary design optimization under uncertainty;;;Journées scientifiques de CIROQUO;23/05/2022;25/05/2022;Saint-Martin d’Hères;France;https://ciroquo.ec-lyon.fr/evenements.html#:~:text=Les%20journ%C3%A9es%20Scientifiques%20du%20Consortium,avec%20les%20membres%20du%20projet.%20.;;;;;;;;;;;;Amine AZIZ-ALAOUI;IRT/INSA;;;;non;;;;;;;;;74;0;Réalisé;1
651;S087-14;14;S087;Communication;GEMSEO: une librairie pour l'optimisation multi-disciplinaire (MDO);;;Capitole du Libre 2022;19/11/2022;20/11/2022;Toulouse;France;https://2022.capitoledulibre.org/;;;;;;;;;;;;Antoine DECHAUME, Jean-Christophe GIRET;IRT;;;;non;;;;;;;;;74;0;Réalisé;1
652;S087-15;15;S087;Communication;GEMSEO: une bibliothèque pour l'optimisation multi-disciplinaire;;;PyConFR 2023;16/02/2023;19/02/2023;Bordeaux;France;https://www.pycon.fr/2023/;;;;;;;;;08/01/2023;;;Jean-Christophe GIRET;IRT;;;;non;;;;;;;;;74;0;Réalisé;1
653;M031-40;40;M031;Article journal;Oxygen embrittlement kinetics at 500 – 600 °C of the Ti-6Al- 4V alloy fabricated by Laser and Electron Beam Powder Bed Fusion;;;;;;;;;Corrosion Science ;;;;;;;;;;;Antoine Casadebaigt, Daniel Monceau, Jonathan Hugues,;IRT, CIRIMAT, IRT;;;;;;;;;;;;;89;0;Réalisé;1
654;S087-16;16;S087;Communication;A Model-Based System Engineering approach for multi-disciplinary analysis and design optimisation processes definition;;;CSD&M 2022;15/12/2022;16/12/2022;Paris;France;https://cesam.community/fr/csdm-paris-2022/;;;;;;;;;;02/09/2022;;Romaric Demachy, Mickael Guillen, Anne Gazaix, Vincent Ambert, Jean Christophe Giret, Louis Jayez, Joël Brezillon;IRT, Capgemini/IRT, ADS/IRT, Expleo/IRT, IRT, Capgemini/IRT, ADS;;;;non;;;;;;;;;74;0;Réalisé;1
655;S007-3;3;S007;Article journal;Worldwide high frequency weather forecasts for the optimization of Earth observation satellites planning;;;;;;;;;SPIE Remote Sensing 2023;06/09/2023;;;;;;;;;;Roussel G. Turpin M., Marchand B., Jubelin G., ;Réuniwat, Thalès Alenia Space, IRT Saint Exupery;;;;;;;;;;;;;801;0;Réalisé;1
661;E009-1;1;E009;Communication;GANRET project presentation;;;17e EDITION DE DECIELEC EMBEDDED SYSTEMS;19/09/2023;21/09/2023;Toulouse;France;https://www.decielec.com/fr/informations-pratiques/programme-general;;;;;;;;;;;;Valeria Rustichelli, Moustafa Zerarka, Mohamed Matmat, Fabio Coccetti;IRT Saint Exupéry;;;;non;;;;;;;;;821;0;Réalisé;1
662;S017-5;5;S017;Communication;Avancement ANR;;;;01/02/2023;01/02/2023;;;;;;;;;;;;;;;Jules-Edouard Denis;;;;;;;;;;;;;;1139;0;Réalisé;1
665;E003-10;10;E003;Article journal;AC motor impedance HF modeling for designing with windings variability;;;;;;;;;Science and Technology for Energy Transition (STET);;;;;;;;;;;A. Piat (1)(2), P.-E Lévy (1), S. Hlioui (1)(3), F. Costa(1)(4), S. Serpaud(2);(1) Universite Paris-Saclay - ENS Paris-Saclay -CNRS- SATIE, (2)Institut de Recherche Technologique Saint Exupery IRT, (3) Cergy Paris-Seine University, (4) Universie Paris Est Creteil;;;;;;;;;;;;;821;0;Réalisé;1
669;E003-11;11;E003;Article journal;Early-stage HF-EMC Simulation Analyses of Common-Mode Current in SiC-Based Motor Drive System for Modern Aircraft Applications;;;;;;;;;IEEE TRANSACTIONS ON TRANSPORTATION ELECTRIFICATION;;10. Issue 2; 4393 - 4406;2023;10.1109/TTE.2023.3311621;;;;;;Gregory Almeida, Marc Cousineau, Nicolas Rouger, Sébastien Serpaud, Victor Dos Santos, Bernardo Cougo, Davin Guedon, Olivier Crepel, Richard Perraud;;;;;;;;;;;;;;821;0;Réalisé;1
670;E005-1;1;E005;Communication;Etude du comportement mécanique d’alliages de brasure SnAgCu : approche numérique et expérimentale, prise en compte des effets du vieillissement;;;ANADEF Groupe Sans Plomb;19/09/2023;19/09/2023;Paris;France;;;;;;;;;12/09/2023;13/09/2023;15/09/2023;;Houda FRIAA;IRT Saint Exupéry;;;;;;;;;;;;;296;0;Réalisé;1
671;S005-4;4;S005;Communication;sLET for distributed aerospace landing system;;;DATE 2024;25/03/2024;27/03/2024;Valencia;Spain;https://www.date-conference.com/;;;;;;;;10/09/2023;14/11/2023;17/01/2024;;Damien CHABROL, Guillaume PHAVORINN, Eric JENN;ASTERIOS Technologies, ASTERIOS Technologies,  IRT Saint-Ex.;;;;;;;;;;;;;84;0;Réalisé;1
672;S005-5;5;S005;Communication;An Evaluation Bench for the Exploration of Machine Learning Deployment Solutions on Edge Computers;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;Eric JENN, Ramon CONEJO-LAGUNA, Serge TEMBO-MOUAFO, Omar HLIMI, Christophe MARABOTTO, Floris THIANT, Hugo KIEFFER, Cyril LOUIS-STANISLAS, THEO ALLOUCHE, Philippe THIERION, Halima BOOUZIDI, Smaïl NIAR;IRT St-Ex, IRT St-Ex, IRT St-Ex, IRT St-Ex, IRT St-Ex, IRT Syst-X, Viveris, Viveris, ATOS, RSL, LAMIH;;;;;;;;;;;;;84;1;Réalisé;1
673;S005-6;6;S005;Communication;Uncertainty in Assurance Case Template for Machine Learning;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;Y. IID MESSAOUD, Jean-Loup FARGES, Eric JENN, Vincent MUSSOT;IRT Syst-X, ONERA, IRT St- Ex, IRT St-EX;;;;;;;;;;;;;84;0;Réalisé;1
674;S005-7;7;S005;Communication;A Method for Interference Analysis using the PHYLOG Modeling Language;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;G. BRAU, E. JENN, E. COURTY, K. DELMAS, F. BONIOL;IRT St-Ex, IRT-St-Ex, LTS, ONERA, ONERA;;;;;;;;;;;;;84;1;Réalisé;1
675;S005-8;8;S005;Communication;Assurance Cases for ML-based Systems: Workflow and Tooling;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;V. MUSSOT, E. JENN, F. CHENEVIER, R. CONEJO-LAGUNA ;IRT St-Ex, IRT St-Ex, , THALES AVS, IRT St-EX;;;;;;;;;;;;;84;1;Réalisé;1
678;E039-43;43;E039;Communication;Reliability-Oriented Optimization of High Performance SiC-Based Power Drive Systems for Aircraft Applications;;;MEA 2024;07/02/2024;08/02/2024;Toulouse;France;;;;;;;;;19/09/2023;;;;Bernardo Cougo, Hans Hoffmann Sathler, Marco Andrade, Alice Teixeira, Fabio Coccetti;IRT Saint Exupery;;;;non;;;;;;;;;46;1;Réalisé;1
680;U009-8;8;U009;Communication;Evaluation of Different Diode Technologies in a Si-SiC Hybrid Switch Used in 540V/30kW Inverters;;;CIPS 2024 - 13th International Conference on Integrated Power Electronics Systems. ;12/03/2024;14/03/2024;Dusseldorf;Allemagne;https://www.cips.eu/en;;;;;;;;15/09/2023;;;;Evaluation of different diode technologies in a Si-SiC Hybrid switch used in 540V/30kW inverters;IRT Saint-Exupery;;;;non;;;;;;;;;46;1;Réalisé;1
684;M014-9;9;M014;Communication;HIPPOME Installation of a HIP atmosphere monitoring system: IRT case study;;;Quintus Care Tech Seminar;19/09/2023;20/09/2023;Vasteras;Suede;;;;;;;;;;;;;Mauro RAVAIOLI;IRT SAINTEXUPERY;;;;non;;;;;;;;;1251;0;Réalisé;1
687;M012-1;1;M012;Communication;Surface post-treatments for Ti64 components produced by Laser Metal Deposition with powder: surface texture quantification and effect on mechanical properties;;;Metals AMS 2024;20/03/2024;21/03/2024;Senlis;France;https://metal-ams.com/contact/;;;;;;;;;;;;Clément Ernould, Jean-Marc Auger, Côme Vanouche, Mauro Ravaioli, Tobias Theel;IRT,IRT,IRT,IRT, PFW;;;;;;;;;;;;;275;1;Réalisé;1
688;E005-2;2;E005;Communication;Etude du comportement mécanique d’alliages de brasure SnAgCu : approche numérique et expérimentale, prise en compte des effets du vieillissement;;;IEEE EPS : Journée technique Simulation multi-échelle et multi-physique;05/12/2023;05/12/2023;Paris Saclay;France;;;;;;;;;22/09/2023;;;;Houda FRIAA;;;;;;;;;;;;;;296;1;Réalisé;1
689;CSEC-1;1;CSEC;Communication;Embedded UNet-based Semantic Segmentation of Aerial Images – a Comparison of CPU, GPU, and FPGA Workflows;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;;;;Julien Posso, Hugo Kieffer, Nicolas Menga, Omar Hlimi, S ?ebastien Tarris, Hubert Guerard Guy Bois, Matthieu Couderc, Eric Jenn;Ecole polytechnique Montréal, Viveris Technologies, ADS, IRT St-Ex, Vivéris technologies, Space Codesign Systems, Space Codesign Systems,ADS, IRT St-Ex;;;;;;;;;;;;;84;1;Réalisé;1
690;S001-13;13;S001;Communication;Workshop Public EDEN;;;EDEN public event;28/09/2023;28/09/2023;Toulouse;France;;;;;;;;;;;;;Damien Fruchard, André Auzi, Philippe Prilleux, Philippe Cuenot, Massimo Barberro, Quentin Bailleul, Morgane Roques, Christophe Fradet;Airbus DS, Thales Avionics, Airbus, Continental Automotive, Thales Alenia Space, IRT, IRT, IRT;;;;;;;;;;;;;84;0;Réalisé;1
691;S005-9;9;S005;Communication;Separation of functional and time interferences concerns for efficient AMC 20-193 compliance;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/10/2024;05/10/2024;;Damien CHABROL, Jean GUYOMARC’H, Fabien SIRON, Guillaume PHAVORIN Sam THOMPSON, Eric JENN, François THURIEAU;ASTERIOS Technologies, ASTERIOS Technologies, ASTERIOS Technologies, ASTERIOS Technologies, Rapita systems, IRT St-Ex, Safran Electronics and Defense;;;;;;;;;;;;;84;1;Réalisé;1
692;S005-10;10;S005;Communication;Certified ML Object Detection for Surveillance Mission ;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;Mohammed Belcaid, Eric Bonnafous, Louis Crison, Christophe Fauré, Eric Jenn, Claire Pagetti;CS Group, CS group, CS Group, CS Group, IRT St-Ex, ONERA;;;;;;;;;;;;;84;1;Réalisé;1
697;CSEC-2;2;CSEC;Communication;An ACAS-Xu implementation using ED-324/ARP6983;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/10/2023;08/02/2024;05/05/2024;;Christophe Gabreau, Marie-Charlotte Teulières, Cristian Maxim, Eric Jenn;Airbus, Airbus Protect, IRT System-X, IRT Saint-Ex;;;;;;;;;;;;;84;1;Réalisé;1
699;S001-14;14;S001;Communication;Présentation groupe de travail SAVOIR de l'ESA;;;ESA WorkGroup SAVOIR;10/10/2023;10/10/2023;;Hollande;;;;;;;;;;;10/10/2023;;Massimo Barbero, Philippe Cuenot, Damien Fruchard, Thierry Ledier;TAS, Continental, ADS, Réalité Virtuelle;;;;non;;;;;;;;;84;0;Réalisé;1
700;S016-3;3;S016;Article journal;Graph-Based Convexification of Nested Signal Temporal Logic Constraints for Trajectory Optimization;;;;;;;;;Special Issue IFAC Journal of System and Control - Guidance, Control, Identification and Modeling to enhance the Autonomy of Space Vehicles;01/12/2023;IFAC Journal of Systems and Control 30 (2024) 100286;;2024;https://doi.org/10.1016/j.ifacsc.2024.100286;;;;;;Thomas Claudet (1, 3), Davide Martire (1), Damiana Losa (2,  3), Francesco Sanfedino (1), and Daniel Alazard (1);(1) ISAE-SUPAERO, (2) Thales Alenia Space, (3) IRT Saint-Exupéry,;;;;;;;;;;;;;801;0;Réalisé;1
704;S020-2;2;S020;Poster;Revisiting the Static Model in Robust Reinforcement Learning;;;16th European Workshop on Reinforcement Learning (EWRL16);14/09/2023;16/09/2023;Bruxelles;Belique;https://ewrl.wordpress.com/ewrl16-2023/;;;;;;;;29/05/2023;20/07/2023;31/08/2023;;Adil Zouitine, Matthieu Geist, Emmanuel Rachelson;IRT Saint-Exupéry, ISAE SUPAERO, Université de Toulouse, Google Deepmind;;;;;;;;;;;;;591;1;Réalisé;1
706;E005-3;3;E005;Poster;Using X-ray imaging for the study of crack development in solder reliability testing;;;ESREF 2023;10/10/2023;11/10/2023;Toulouse;France;https://esref2023.sciencesconf.org/;;;;;;;;;;;;P. Roumanille, J. Lesseur, J. Uzanu, H. Le Trong, E. Ben Romdhane, A. Guédon-Gracia, H. Frémont;Institut de Recherche Technologique Saint-Exupéry, Toulouse, France Elemca, Toulouse, France Mines Paris - Psl , MAT - Centre des Matériaux, CNRS UMR 7633, Evry, France d University of Bordeaux, IMS Laboratory, UMR 5218, Talence, France;;;;;;;;;;;;;296;0;Réalisé;1
710;V075-35;35;V075;Communication;Pay attention to your loss: understanding misconceptions about lipschitz neural networks;;;Neurips 2022;28/11/2022;09/12/2022;Nouvelle-Orléans;USA;https://neurips.cc/;;;;;;;;;;;;Louis Béthune, Thibaut Boissin, Mathieu Serrurier, Franck Mamalet, Corentin Friedrich, Alberto Gonzalez Sanz;"IRIT, Université Paul-Sabatier Toulouse, France;  IRT Saint-Exupéry Toulouse, France; IMT, Université Paul-Sabatier Toulouse, France";;;;non;;;;;;;;;833;1;Réalisé;1
713;S003-1;1;S003;Communication;Conclusion du projet S2C et perspectives du projet COSMOS : Comment s’assurer de la cohérence IS / RAMS;;;Matinale LGM;17/10/2023;17/10/2023;Vélizy-Villacoublay;FRANCE;;;;;;;;;;;;;Perrin , Baclet, Dobol;LGM, IRT, Safran;;;;non;;;;;;;;;289;0;Réalisé;1
714;V053-4;1;V053;Communication;MBSE et IA Embarquée : une opportunité pour l’ingénierie des Systèmes Complexes.;;;Systèmes Embarqués Complexes :  Enjeux et Perspectives de l’ingénierie par les modèles;19/10/2023;19/10/2023;Toulouse;france;;;;;;;;;;;;;BACLET;IRT;;;;non;;;;;;;;;289;0;Réalisé;1
727;E005-4;4;E005;Communication;Comparative study of various lead-free alloys submitted to the thermomechanical aging;;;EuroSimE 2024;07/04/2024;10/04/2024;Catane;Sicile;https://www.eurosime.org/;;;;;;;;30/10/2023;15/12/2023;03/11/2023;;H. Friaa1,2, A. Guédon-Gracia1, H. Frémont1, R.Riva2, L. Rocheron2;1Laboratoire IMS, Université de Bordeaux, Talence, France 2IRT - Institut de recherche technologique Saint-Exupéry, Toulouse, France;;;;non;;;;;;;;;296;1;Réalisé;1
729;M009-2;2;M009;Communication;Debonding on demand using moderate thermal or electrical trigger;;;3RD INTERNATIONAL CONFERENCE ON INDUSTRIAL APPLICATIONS OF ADHESIVES 2024;07/03/2024;08/03/2024;Cascais;Portugal;https://www.fe.up.pt/iaa/2024/;;;;;;;;03/11/2023;03/11/2023;;;Cécilia Faure1, Julie Lecomte1, Sara Kirchner1, Laurent Ferres1, Bérangère Doll2, Aurélien Fraysse3, Stéphane Couarraze4;1IRT Saint Exupéry, Esplanade des Arts et Métiers, Talence, FR . 2Thales Alenia Space, 5 allée des Gabians, 06156 Cannes La Bocca, FR.   3Actia Automotive, 5 rue Jorge Semprun, Toulouse, FR.   4Continental, 1 av. Paul Ourliac, Toulouse, FR.;;;;;;;;;;;;;217;1;Réalisé;1
730;M015-9;9;M015;Communication;Towards a reliable laser process for surface preparation before bonding;;;3RD INTERNATIONAL CONFERENCE ON INDUSTRIAL APPLICATIONS OF ADHESIVES 2024;07/03/2024;08/03/2024;Cascais;Portugal;https://www.fe.up.pt/iaa/2024/;;;;;;;;03/11/2023;03/11/2023;;;F Crestey1, S Kirchner1, J Lecomte1, L Ferres1, A. Fernandez2, T Balutch3, C Debras1,4, M Péron1,5, N Cuvillier1,6 ;1IRT Saint Exupéry, Esplanade des Arts et Métiers, 33405 Talence, France. 2Airbus, P.º John Lennon, 28906 Getafe, Madrid, Spain. 3Naval Group – CESMAN, 5 rue de l’Halbrane, 44340 Bouguenais, France. 4Thales Alenia Space, 5 allée des Gabians, 06156 Cannes ;;;;;;;;;;;;;381;1;Réalisé;1
732;V075-39;39;V075;Communication;Gender Neutral Embedding, an explainability tool for NLP Fairness;;;EACL 2024;17/03/2024;22/03/2024;St. Julian's;Malte;https://2024.eacl.org/;;;;;;;;15/10/2023;15/01/2024;31/01/2024;;Fanny Jourdan, Louis Béthune, Agustin Martin Picard, Laurent Risser, Nicholas Asher;IRIT, IRIT, IRT Saint-Exupéry, Institut de Mathématiques de Toulouse, IRIT;;;;;;;;;;;;;816;1;Refusé;1
742;M031-50;50;M031;Communication;Effets d’épaisseur d’une paroi sur la microstructure de l’alliage 718 produit par procédé Laser Beam Melting;;;Journées Annuelles 2019 de la SF2M (Société Française de Métallurgie et de Matériaux);21/10/2019;21/10/2019;Paris;France;;;;;;;;;;;;;Max, Bertrand and Callahan, Michael;IRT Saint Exupéry, Toulouse (France) // IRT Saint Exupéry, Toulouse (France);;;;non;;;;;;;;;89;0;Réalisé;1
746;M031-52;52;M031;Communication;Influence of the fine microstructure on the mechanical properties of an Al-Si-Mg elaborated by Laser Beam Melting;;;ICAA17;26/10/2020;29/10/2020;Grenoble;France;;;;;;;;;;;;;Nicolas BELLO, Cassiopée GALY, Céline LARIGNON, Simon PERUSIN and Joël DOUIN;IRT Saint Exupéry,  CEMES Université de Toulouse;;;;;;;;;;;;;89;0;Réalisé;1
750;E025-1;1;E025;Communication;Surface Discharges Inception & Flashover of Solid Insulating Materials with Homogeneous and Inhomogeneous Electrical Field for Aeronautical ;;;ICD;30/06/2024;04/07/2024;TOULOUSE;FRANCE;https://ieee-icd.org/;;;;;;;;;12/11/2023;29/02/2024;;Somya anand, Solomon Berihu Araya, Mohammed El Amine Slama, Pierre Henrard , Alain Philippe;SOURIAU, IRT, SAFRAN;;;;;;;;;;;;;1461;1;Réalisé;1
751;E025-2;2;E025;Communication; Enhancing High-Temperature Aeronautic Cables with Extruded Perfluoroalkoxy: Insights from Partial Discharge and Polarization Current Analysis;;;ICD;30/06/2024;04/07/2024;TOULOUSE;FRANCE;https://ieee-icd.org/;;;;;;;;12/11/2023;;;;Youcef KEMARI , Laurent MOISSET  , David THOMASSE  , Pierre HENRARD ;IRT, SAFRAN;;;;;;;;;;;;;1461;1;Réalisé;1
752;V075-40;40;V075;Article journal;Detecting and Processing Unsuspected Sensitive Variables for Robust Machine Learning;;;;;;;;;Algorithms;07/11/2023;16;0,8125;2023; https://doi.org/10.3390/a16110510;;;;;;Laurent Risser, Agustin Martin Picard, Lucas Hervier, Jean-Michel Loubes;Institut de Mathématiques de Toulouse, IRT Saint-Exupéry, IRT Saint-Exupéry, Institut de Mathématiques de Toulouse;;;;;;;;;;;;;816;1;Réalisé;1
757;A064-3;3;A064;Poster;Power Cycling Lifetime Investigation of SiC MOSFET for DC/AC converters (variable frequency and temperature swing);;;ECPE PCC Meeting;05/10/2023;05/10/2023;Toulouse;France;;;;;;;;;;;;;Bernardo Cougo;IRT Saint-Exupery;;;;;;;;;;;;;46;0;Réalisé;1
758;E039-44;44;E039;Communication;DAB Converter Design ;;;Seminaire aux étudiants de Master et Doctorat du PPGEE/UFMG (2023);20/10/2023;20/10/2023;Belo Horizonte;Brésil;;;;;;;;;;;;;Bernardo Cougo;IRT Saint-Exupery;;;;;;;;;;;;;46;0;Réalisé;1
759;E039-45;45;E039;Poster;Methodology and Optimization of Core Transformer/ Inductor with High Leakage Inductance;;;ECPE PCC Meeting;05/10/2023;05/10/2023;Toulouse;France;;;;;;;;;;;;;Bernardo Cougo;IRT Saint-Exupery;;;;;;;;;;;;;46;0;Réalisé;1
760;V075-41;41;V075;Communication;Influenciæ: A library for tracing the influence back to the data-points;;;;;;;;;;;;;;;;14/11/2023;;14/11/2023;;Agustin Picard, Lucas Hervier, Thomas Fel, David Vigouroux;IRT Saint-Exupéry, IRT Saint-Exupéry, Brown University, IRT Saint-Exupéry;;;;;;;;;;;;;816;1;Réalisé;1
761;U009-9;9;U009;Poster;Design of Innovative Power Converters Applied to More Electrical Aircrafts;;;Journée des Electroniques de Puissance (SEEDS) 2022;29/03/2022;30/03/2022;Grenoble;France;;;;;;;;;;;;;Gustavo Sathler Zappulla, Bernardo Cougo;IRT Saint-Exupery;;;;;;;;;;;;;46;0;Réalisé;1
762;V075-42;42;V075;Communication;CRAFT: Concept Recursive Activation FacTorization for Explainability;;;Workshop: explanations meet uncertainties;19/09/2023;19/11/2023;Arras;France;https://www.cril.univ-artois.fr/ecsqaru23/workshop/;;;;;;;;19/07/2023;15/08/2023;;;Agustin Picard;IRT Saint-Exupéry;;;;non;;;;;;;;;816;0;Réalisé;1
764;V075-43;43;V075;Communication;Beyond the Opacity of Deep Neural Networks;;;Open Source Experience;06/12/2023;07/12/2023;Paris;France;https://www.opensource-experience.com/;;;;;;;;23/06/2023;26/07/2023;07/12/2023;;Lucas Hervier, Corentin Friedrich, Paul Novello;IRT Saint Exupéry;;;;;;;;;;;;;998;1;Réalisé;1
765;V075-44;44;V075;Communication;The DEEL open-source software suite for reliable, robust, and explainable AI;;;Open Source Experience;06/12/2023;07/12/2023;Paris;France;https://www.opensource-experience.com/;;;;;;;;23/06/2023;26/07/2023;07/12/2023;;Corentin Friedrich, Paul Novello, Lucas Hervier;IRT Saint Exupéry;;;;;;;;;;;;;998;1;Réalisé;1
766;A097-1;1;A097;Communication;Lipschitz Neural Networks for generalization bounds in function approximation;;;CEMRACS;22/08/2023;23/11/2023;Marseille;France;http://smai.emath.fr/cemracs/cemracs23/informations.html;;;;;;;;;;22/08/2023;;Paul Novello;;;;;;;;;;;;;;1149;0;Réalisé;1
774;E034-11;11;E034;Communication;Influence de la forme d’onde sur le vieillissement et l’activité DP;;;2022 Journées Scientifiques sur les Décharges Electriques et Matériaux Isolants ;28/04/2022;29/04/2022;Grenoble;France;https://materiauxdielec.sciencesconf.org/;;;;;;;;;;;;C. Abadie;IRT St-Exupéry, Toulouse;;;;non;;;;;;;;;1274;0;Réalisé;1
777;E034-14;14;E034;Communication;Effect of Atmospheric Air Pressure and Electrode  Curvature on Air Breakdown Voltage & Surface  Flashover of Solid Dielectric with Same Clearance  & Creepage Distances;;;2024 IEEE International Conference on Dielectrics (ICD);30/06/2024;04/07/2024;Toulouse;France;https://ieee-icd.org/;;;;;;;;;;;;Mohammed El Amine SLAMA, Guillaume BELIJAR, Mourad JEBLI & Michaël DARQUES;IRT Saint Exupéry, Toulouse, France;;;;non;;;;;;;;;1274;0;Réalisé;1
779;V075-45;45;V075;Communication;Unlocking Feature Visualization for Deeper Networks with MAgnitude Constrained Optimization;;;NeurIPS inParis;06/12/2023;07/12/2023;Paris;France;https://neuripsinparis.github.io/neurips2023paris/;;;;;;;;;;;;Thomas Fel, Thibaut Boissin, Victor Boutin, Agustin Picard, Paul Novello, Julien Colin, Drew Linsley, Tom Rousseau, Rémi Cadène, Laurent Gardes, Thomas Serre;Brown University, IRT Saint-Exupéry, Brown University, IRT Saint-Exupéry, IRT Saint-Exupéry, ELLIS Alicante, Brown University, SNCF, Tesla, SNCF, Brown University;;;;;;;;;;;;;816;0;Réalisé;1
781;S038-44;44;S038;Stage;Knowledge Distillation for Embedded Neural Network Compression;;;;;;;;;;;;;;;;;;;;Ahmed HAMDI;IRT Saint Exupéry / National School of Electronics and Telecommunications of Sfax;Thomas Louis;;21/10/2023;;;;;;;;;;829;0;Réalisé;1
783;S001-15;15;S001;Communication;Yet another experience on TSN tools interoperability for critical embedded networks;;;ERTS 2024;11/06/2024;12/06/2024;Toulouse;France;https://erts2024.org/;;;;;;;;15/11/2023;08/11/2024;03/11/2024;;Philippe Cuenot, Thierry Leydier, Damien Fruchart, Morgane Roques;Continental et IRT St-Ex, Virtualité Réelle, Airbus Defense and Space et IRT St-Ex, IRT St-Ex;;;;;;;;;;;;;84;1;Réalisé;1
785;U006-6;6;U006;Communication;Cross-border 5G Seamless Connectivity for Connected and Automated Mobility: Challenges, Network Implementation, and Lessons Learnt;;;IEEE Future Networks World Forum;13/11/2023;15/11/2023;Baltimore;Etats Unis;https://fnwf2023.ieee.org/;;;;;;;;01/09/2023;22/10/2023;23/10/2023;;Dr. Francisco Vázquez-Gallego, Dr. Jad Nasreddine, Dr. Estela Carmona-Cejudo, Dr. Yuri Murillo, Dr. Ricard Vilalta, Mr. Philippe Veyssiere, Mr. Michail Dalgitsis, Dr. Maria A. Serrano, Dr. Angelos Antonopoulos, Mr. Javier Polo, Mrs. Judit Bastida and Mr. ;I2cat, I2cat, I2cat, I2cat, IRT, Nearbycomputing, Nearbycomputing, IEEE, cellnex, cellnex and cellnex;;;;;;;;;;;;;989;0;Réalisé;1
786;E003-12;12;E003;Communication;Enhancing Power Density in Medium Power Inverters for Electric and Hybrid Aircraft Propulsion: Addressing Thermal and EMC Challenges;;;MORE ELECTRIC AIRCRAFT - MEA 2024;07/02/2024;08/02/2024;Toulouse;France;https://conference-mea.org/;;;;;;;;;;;;Victor Dos Santos (1,2) , Bernardo Cougo (2), Gilles Segond (2);1 : Safran Tech, Electronic and Electricity Team, 2 : IRT Saint Exupéry;;;;;;;;;;;;;821;1;Réalisé;1
791;V075-47;47;V075;Communication;TaCo: Targeted Concept Removal in Output Embeddings for NLP via Information Theory and Explainability;;;;;;;;;;;;;;;;12/12/2023;;12/12/2023;;Fanny Jourdan, Louis Béthune, Agustin Picard, Laurent Risser, Nicholas Asher;IRIT, IRIT, IRT Saint-Exupéry, Institut de Mathématiques de Toulouse, IRIT;;;;;;;;;;;;;816;1;Réalisé;1
